#,timestamp,shoulder_pan_joint_angle,shoulder_lift_joint_angle,elbow_joint_angle,wrist_1_joint_angle,wrist_2_joint_angle,wrist_3_joint_angle,shoulder_pan_joint_velocity,shoulder_lift_joint_velocity,elbow_joint_velocity,wrist_1_joint_velocity,wrist_2_joint_velocity,wrist_3_joint_velocity
1,2024-10-27T10:39:03.552844,0.07882390651956259,0.45897985617523923,0.7161525240266077,0.7814327014075365,0.6373286175070453,0.3224528452322972,2.4632470787363308,14.343120505476225,22.37976637583149,24.419771918985514,19.916519297095164,10.076651413509287
2,2024-10-27T10:39:03.885122,0.15685185190815545,0.5206258676522463,0.7448986026001652,0.769576358538298,0.5880467506920098,0.24895049088605173,2.438373293393527,1.92643785865647,0.8983149554236715,-0.37051071466370417,-1.5400583379698574,-2.2969485733201718
3,2024-10-27T10:39:04.211302,0.23329591262327654,0.577014616799509,0.7661227203833595,0.749948859737354,0.5328268077600832,0.17293424293784485,2.388876897347534,1.7621484108519616,0.6632536807248228,-0.6133593375294982,-1.7256232166227083,-2.375507748381465
4,2024-10-27T10:39:04.540471,0.3073841591360636,0.6275766919432474,0.7796105569556425,0.7227484028209955,0.47222639781957926,0.09517171087774823,2.3152577035245954,1.5800648482418231,0.4214948928838447,-0.850014278636204,-1.8937628106407474,-2.4300791268780193
5,2024-10-27T10:39:04.873519,0.3783684508494601,0.6718015189658791,0.7852259126013892,0.6882496570793659,0.40685746175192916,0.016448138113486527,2.2182591160436402,1.3820258444572422,0.17547986392958334,-1.0780858044259247,-2.0427792521140655,-2.4601116488831782
6,2024-10-27T10:39:05.207593,0.4455319907965551,0.7092425170661197,0.7829120836500009,0.6468009896752968,0.33738009285344583,-0.062441527390823266,2.098860623346719,1.1700311906325187,-0.07230715473088498,-1.2952708563771613,-2.1711677780776037,-2.465302047009681
7,2024-10-27T10:39:05.540738,0.5081965638320114,0.739521608316747,0.772692435067645,0.5988209478445301,0.2644958712356336,-0.1407006604722172,1.9582679073580096,0.9462216015821007,-0.3193640181986222,-1.4993763072114579,-2.2776319255566317,-2.44559790879356
8,2024-10-27T10:39:05.870332,0.5657293852255689,0.7623330354826683,0.7546701645186205,0.5447940324199455,0.18894077929305153,-0.21753900306272292,1.797900668548673,0.7128570989350415,-0.5631959546570156,-1.6883411070182686,-2.36109662320569,-2.401198205953304
9,2024-10-27T10:39:06.202094,0.6175494905007597,0.7774464495470981,0.7290272602788479,0.4852658053586066,0.11147776977808838,-0.29218064418849155,1.61937828984971,0.4722941895134304,-0.8013407574928917,-1.8602570956668396,-2.4207190473425966,-2.3325512851802674
10,2024-10-27T10:39:06.534618,0.6631336019944601,0.7847092357681041,0.696022663524441,0.420837380675645,0.032889061529981035,-0.3638718550924592,1.4245034841781403,0.22696206940643981,-1.0313936485752173,-2.0133882713425506,-2.4558971327533565,-2.24035034074899
11,2024-10-27T10:39:06.866851,0.7020214128969621,0.7840480547770899,0.6559896535525042,0.3521593544153529,-0.046031759344458,-0.43188870036173754,1.2152440907031863,-0.020661905969193723,-1.2510315616230265,-2.146188320634131,-2.466275652326222,-2.125526414664951
12,2024-10-27T10:39:07.199277,0.7338202354145033,0.7754695831572477,0.6093324823381081,0.2799252349544213,-0.12448775307639494,-0.4955443482028264,0.9937132036731611,-0.26807723812007056,-1.4580366004498755,-2.257316233154111,-2.451749804123027,-1.9892389950340248
13,2024-10-27T10:39:07.533270,0.7582089661172721,0.7590604460236468,0.5565222924115775,0.20486443997790874,-0.20168667370569426,-0.5541960060457377,0.7621478344615247,-0.5127855354250285,-1.650318435204081,-2.345649843016015,-2.4124662696656016,-1.8328643075909772
14,2024-10-27T10:39:07.862519,0.7749413284309367,0.7349863422857659,0.49809235927721907,0.12773493084422913,-0.2768489691537174,-0.6072514114415367,0.522886322302019,-0.7523157418087781,-1.8259354104487016,-2.41029716042749,-2.348821732750724,-1.6579814186187203
15,2024-10-27T10:39:08.195401,0.7838483595291283,0.7034903714255305,0.43463270641539103,0.0493155587170945,-0.3492156531137371,-0.654174812708436,0.27834472181849046,-0.9842490893823561,-1.9831141519321276,-2.450605378972959,-2.2614588737506183,-1.4663562895906048
16,2024-10-27T10:39:08.533803,0.7848401165143234,0.6648905786870023,0.36678414724543723,-0.029601800247081075,-0.41805596926888594,-0.6944923789340832,0.03099240578734519,-1.2062435230790054,-2.1202674740610545,-2.466167467630484,-2.1512598798483995,-1.2599239445514736
17,2024-10-27T10:39:08.863364,0.777906584658168,0.619576743466306,0.29523181421354244,-0.10822024123771538,-0.4826747704446255,-0.7277969847040212,-0.2166728705048566,-1.4160573506467586,-2.23601040724671,-2.45682628095732,-2.0193375367418587,-1.0407689303105612
18,2024-10-27T10:39:09.193713,0.7631177785298648,0.5680064433325241,0.2206982403485593,-0.18574587790777203,-0.5424195381813056,-0.753752321240296,-0.4621501915094725,-1.6115718791806808,-2.329174183280721,-2.422676145939268,-1.8670239917712526,-0.8111042667585867
19,2024-10-27T10:39:09.528960,0.7406230349914313,0.5107004334249463,0.14393606314802262,-0.26139585901112905,-0.5966869718434086,-0.7720962924360751,-0.7029607355760488,-1.790812809611812,-2.3988180375167776,-2.364061909479913,-1.695857301940722,-0.5732490998680992
20,2024-10-27T10:39:09.861466,0.7106495051991383,0.44823738788535794,0.06572042447026019,-0.3344062736078747,-0.6449290807288784,-0.7826436614932326,-0.9366728060091574,-1.9519701731121348,-2.444238708680074,-2.2815754561483,-1.507565902670932,-0.32960528303617076
